Ordinance,Permit Number,Address,City,State,Unit,Unit Type,Vacation Rental or Homestay,Type of Registration,Number of Bedrooms,Maximum Number of Guests,Permit Issue Date,Registration Renewal Date,Civic League,Ward,Superward,Latitude,Longitude,Norfolk AIR Link,Location Point
,ZP25-01601,2500 E OCEAN VIEW AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,06/24/2025,06/24/2027,East Ocean View,5,6,36.93487634,-76.21072072,https://air.norfolk.gov/#/property/15249400,POINT (-76.21072072 36.93487634)
41619.0,ZP24-00567,1540 CHELA AVENUE,Norfolk,Virginia,,multifamily,Vacation Rental,CUP,4,8,06/11/2024,06/11/2029,Willoughby,1,6,36.96786475,-76.29544892,https://air.norfolk.gov/#/property/40298416,POINT (-76.29544892 36.96786475)
,ZP23-01164,802 W OCEAN VIEW AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,12/26/2023,12/26/2025,Willoughby,1,6,36.96553098,-76.2723314,https://air.norfolk.gov/#/property/27044200,POINT (-76.2723314 36.96553098)
49617.0,ZP24-00619,1105 W OCEAN VIEW AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,CUP,5,10,06/11/2024,06/11/2026,Willoughby,1,6,36.96692372,-76.28179912,https://air.norfolk.gov/#/property/47888500,POINT (-76.28179912 36.96692372)
,ZP25-00003,7055 KIRBY CRESCENT,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,01/02/2025,01/02/2027,Suburban Acres,2,6,36.90262778,-76.26436621,https://air.norfolk.gov/#/property/34517900,POINT (-76.26436621 36.90262778)
,ZP25-01355,1522 W OCEAN VIEW AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,05/23/2025,05/23/2027,Willoughby,1,6,36.96727186,-76.2946555,https://air.norfolk.gov/#/property/09349300,POINT (-76.2946555 36.96727186)
,ZP24-00738,1848 E OCEAN VIEW AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,2,4,08/23/2024,08/23/2026,Cottage Line,5,6,36.93916371,-76.22320499,https://air.norfolk.gov/#/property/06602701,POINT (-76.22320499 36.93916371)
,ZP24-00929,8465 GROVE AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,10/23/2024,10/23/2026,Bayview,5,6,36.93172008,-76.23022334,https://air.norfolk.gov/#/property/13515200,POINT (-76.23022334 36.93172008)
49511.0,ZP24-00291,718 W OCEAN VIEW AVENUE,Norfolk,Virginia,B,triplex,Vacation Rental,CUP,3,6,03/12/2024,03/12/2029,Willoughby,1,6,36.96463914,-76.2688863,https://air.norfolk.gov/#/property/37006205,POINT (-76.2688863 36.96463914)
48968.0,ZP23-00891,1866 E OCEAN VIEW AVENUE,Norfolk,Virginia,5,multifamily,Vacation Rental,CUP,2,4,10/25/2022,10/25/2032,Cottage Line,5,6,36.93896371,-76.22272953,https://air.norfolk.gov/#/property/08598000,POINT (-76.22272953 36.93896371)
,ZP25-00447,2215 E OCEAN VIEW AVENUE,Norfolk,Virginia,A,duplex,Vacation Rental,administrative,3,6,03/10/2025,03/10/2027,East Ocean View,5,6,36.93511656,-76.21411579,https://air.norfolk.gov/#/property/02125520,POINT (-76.21411579 36.93511656)
49785.0,ZP24-01036,1157 LITTLE BAY AVENUE,Norfolk,Virginia,A,duplex,Vacation Rental,CUP,3,6,11/12/2024,11/12/2026,Willoughby,1,6,36.96577157,-76.28410772,https://air.norfolk.gov/#/property/18977200,POINT (-76.28410772 36.96577157)
49971.0,ZP25-01359,822 E OCEAN VIEW AVENUE,Norfolk,Virginia,A,duplex,Vacation Rental,CUP,2,4,05/20/2025,05/20/2027,Cottage Line,5,6,36.94882405,-76.24196444,https://air.norfolk.gov/#/property/34547700,POINT (-76.24196444 36.94882405)
,ZP24-00759,460 W OCEAN VIEW AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,08/23/2024,08/23/2026,Willoughby,1,6,36.96104255,-76.26217525,https://air.norfolk.gov/#/property/44702100,POINT (-76.26217525 36.96104255)
,ZP25-01199,9631 17TH BAY STREET,Norfolk,Virginia,"A; 2 units in a triplex, unit closer to street",triplex,Vacation Rental,administrative,2,4,05/08/2025,05/08/2027,East Ocean View,5,6,36.93061393,-76.19783148,https://air.norfolk.gov/#/property/46891401,POINT (-76.19783148 36.93061393)
,ZP24-01072,207 GLENDALE AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,12/17/2024,12/17/2026,Glenwood Park,1,6,36.92751348,-76.31448312,https://air.norfolk.gov/#/property/00302700,POINT (-76.31448312 36.92751348)
,ZP25-00568,929 VIRGILINA AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,03/31/2025,03/31/2027,Bayview,5,6,36.94592409,-76.24285934,https://air.norfolk.gov/#/property/61011445,POINT (-76.24285934 36.94592409)
,ZP23-00974,1273 W OCEAN VIEW AVENUE,Norfolk,Virginia,,townhome,Vacation Rental,administrative,3,6,10/18/2023,10/18/2025,Willoughby,1,6,36.96686306,-76.28726553,https://air.norfolk.gov/#/property/23279906,POINT (-76.28726553 36.96686306)
,ZP24-00888,1823 E OCEAN VIEW AVENUE,Norfolk,Virginia,2,duplex,Vacation Rental,administrative,2,3,10/11/2024,10/11/2026,Cottage Line,5,6,36.9387459,-76.22495162,https://air.norfolk.gov/#/property/45321712,POINT (-76.22495162 36.9387459)
49975.0,ZP25-01523,1124 VIRGILINA AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,CUP,2,4,05/20/2025,05/20/2030,Bayview,5,6,36.94434939,-76.23967476,https://air.norfolk.gov/#/property/04076900,POINT (-76.23967476 36.94434939)
49380.0,ZP24-00106,3706 NEWPORT AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,CUP,5,4,10/24/2023,10/24/2025,Park Place,2,7,36.87982336,-76.29032957,https://air.norfolk.gov/#/property/06627000,POINT (-76.29032957 36.87982336)
,ZP24-00636,9721 17TH BAY STREET,Norfolk,Virginia,B,duplex,Vacation Rental,administrative,2,4,08/23/2024,08/23/2026,East Ocean View,5,6,36.93198999,-76.19729087,https://air.norfolk.gov/#/property/20245100,POINT (-76.19729087 36.93198999)
,ZP25-00629,5260 JANET DRIVE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,03/31/2025,03/31/2027,Norvella Heights,3,7,36.89198272,-76.2263183,https://air.norfolk.gov/#/property/30586000,POINT (-76.2263183 36.89198272)
49858.0,ZP25-00623,2701 PLEASANT AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,CUP,4,8,02/11/2025,02/11/2030,East Ocean View,5,6,36.93210032,-76.20932521,https://air.norfolk.gov/#/property/42311601,POINT (-76.20932521 36.93210032)
49857.0,ZP25-01489,9555 20TH BAY STREET,Norfolk,Virginia,,single-family,Vacation Rental,CUP,4,8,02/11/2025,02/11/2027,East Ocean View,5,6,36.92773897,-76.1948942,https://air.norfolk.gov/#/property/31097551,POINT (-76.1948942 36.92773897)
,ZP24-00410,617 PALMER TURN,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,05/03/2024,05/03/2026,Oakdale Farms and Denby Park,1,7,36.92353773,-76.2535387,https://air.norfolk.gov/#/property/01479875,POINT (-76.2535387 36.92353773)
,ZP25-01661,7023 AZALEA GARDEN ROAD,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,07/01/2025,07/01/2027,East Lynne and Saratoga,5,6,36.9076296,-76.20845677,https://air.norfolk.gov/#/property/17021300,POINT (-76.20845677 36.9076296)
,ZP24-00820,9520 5TH BAY STREET,Norfolk,Virginia,,single-family,Vacation Rental,administrative,2,4,09/23/2024,09/24/2026,East Ocean View,5,6,36.93103348,-76.21214202,https://air.norfolk.gov/#/property/48574200,POINT (-76.21214202 36.93103348)
49675.0,ZP24-00671,9552 13TH BAY STREET,Norfolk,Virginia,,single-family,Vacation Rental,CUP,4,8,07/16/2024,07/16/2029,East Ocean View,5,6,36.92975226,-76.2027428,https://air.norfolk.gov/#/property/19488790,POINT (-76.2027428 36.92975226)
,ZP24-00034,1120 W OCEAN VIEW AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,01/17/2024,01/17/2026,Willoughby,1,6,36.96742991,-76.28242172,https://air.norfolk.gov/#/property/47851100,POINT (-76.28242172 36.96742991)
,ZP25-01220,2616 E OCEAN VIEW AVENUE,Norfolk,Virginia,B,duplex,Vacation Rental,administrative,1,2,05/15/2025,05/15/2027,East Ocean View,5,6,36.93495214,-76.20925182,https://air.norfolk.gov/#/property/40869250,POINT (-76.20925182 36.93495214)
,ZP25-01783,9520 13TH BAY STREET,Norfolk,Virginia,,duplex,Vacation Rental,administrative,2,4,07/16/2025,07/16/2027,East Ocean View,5,6,36.92875138,-76.20321266,https://air.norfolk.gov/#/property/46179000,POINT (-76.20321266 36.92875138)
,ZP24-00269,2925 RIDGEFIELD DRIVE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,03/29/2024,03/29/2026,North Camelia Acres,5,6,36.92179064,-76.20537405,https://air.norfolk.gov/#/property/46573600,POINT (-76.20537405 36.92179064)
,ZP24-01098,476 W OCEAN VIEW AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,4,8,12/31/2024,12/31/2026,Willoughby,1,6,36.96121045,-76.26242541,https://air.norfolk.gov/#/property/19258900,POINT (-76.26242541 36.96121045)
49789.0,ZP24-01080,479 W OCEAN VIEW AVENUE,Norfolk,Virginia,,duplex,Vacation Rental,CUP,4,8,11/12/2024,11/12/2029,Willoughby,1,6,36.96071,-76.2631251,https://air.norfolk.gov/#/property/23573954,POINT (-76.2631251 36.96071)
,ZP24-00795,2054 PARKVIEW AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,09/09/2024,09/09/2026,Bayview,5,6,36.93440072,-76.21745293,https://air.norfolk.gov/#/property/04858200,POINT (-76.21745293 36.93440072)
49852.0,ZP25-00598,9507 19TH BAY STREET,Norfolk,Virginia,A,duplex,Vacation Rental,CUP,2,4,02/11/2025,02/11/2027,East Ocean View,5,6,36.92649076,-76.19623743,https://air.norfolk.gov/#/property/41877500,POINT (-76.19623743 36.92649076)
,ZP25-01547,582 W OCEAN VIEW AVENUE,Norfolk,Virginia,B,duplex,Vacation Rental,administrative,2,4,06/17/2025,06/17/2027,Willoughby,1,6,36.96277084,-76.26511183,https://air.norfolk.gov/#/property/09025010,POINT (-76.26511183 36.96277084)
,ZP23-00658,9561 1ST VIEW STREET,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,07/20/2023,10/27/2025,Ocean View,5,6,36.95416912,-76.2559617,https://air.norfolk.gov/#/property/25527907,POINT (-76.2559617 36.95416912)
49620.0,ZP24-00620,1212 LITTLE BAY AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,CUP,5,10,06/11/2024,06/11/2029,Willoughby,1,6,36.96637511,-76.28517111,https://air.norfolk.gov/#/property/23461500,POINT (-76.28517111 36.96637511)
,ZP24-00683,9526 MASON CREEK ROAD,Norfolk,Virginia,,single-family,Vacation Rental,administrative,2,3,07/28/2024,07/28/2026,Ocean View,5,6,36.95464695,-76.25924966,https://air.norfolk.gov/#/property/01865500,POINT (-76.25924966 36.95464695)
,STR25-00014,1704 E OCEAN VIEW AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,08/06/2025,08/06/2027,Cottage Line,5,6,36.94038413,-76.2268491,https://air.norfolk.gov/#/property/16221600,POINT (-76.2268491 36.94038413)
49973.0,ZP25-01484,941 HILLSIDE AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,CUP,4,8,05/20/2025,05/20/2027,Bayview,5,6,36.94639437,-76.24167665,https://air.norfolk.gov/#/property/29659203,POINT (-76.24167665 36.94639437)
,ZP25-00450,2229 E OCEAN VIEW AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,03/10/2025,03/10/2027,East Ocean View,5,6,36.93506679,-76.21382505,https://air.norfolk.gov/#/property/00105600,POINT (-76.21382505 36.93506679)
,ZP25-00912,919 W OCEAN VIEW AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,04/17/2025,04/17/2027,Willoughby,1,6,36.96613908,-76.27592855,https://air.norfolk.gov/#/property/19497250,POINT (-76.27592855 36.96613908)
,ZP24-00899,1408 E OCEAN VIEW AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,10/14/2024,10/14/2026,Cottage Line,5,6,36.9427012,-76.23193062,https://air.norfolk.gov/#/property/45413700,POINT (-76.23193062 36.9427012)
49678.0,ZP24-00677,9634 8TH BAY STREET,Norfolk,Virginia,,single-family,Vacation Rental,CUP,5,10,07/16/2024,07/16/2029,East Ocean View,5,6,36.93308517,-76.20760365,https://air.norfolk.gov/#/property/46563980,POINT (-76.20760365 36.93308517)
,ZP25-00158,405 E WESTMONT AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,01/23/2025,01/23/2027,Northside,5,6,36.93631833,-76.25338223,https://air.norfolk.gov/#/property/45376800,POINT (-76.25338223 36.93631833)
49072.0,ZP23-00463,358 W FREEMASON STREET,Norfolk,Virginia,summer kitchen,mixed-use,Vacation Rental,CUP,2,4,02/14/2023,02/14/2028,Freemason Street Area Association,2,6,36.85225805,-76.29579241,https://air.norfolk.gov/#/property/18695050,POINT (-76.29579241 36.85225805)
49424.0,ZP24-00067,9569 20TH BAY STREET,Norfolk,Virginia,,single-family,Vacation Rental,CUP,4,8,12/05/2023,12/05/2025,East Ocean View,5,6,36.92829619,-76.19498297,https://air.norfolk.gov/#/property/35534300,POINT (-76.19498297 36.92829619)
,ZP25-01048,1129 HILLSIDE AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,04/30/2025,04/30/2027,Bayview,5,6,36.94459644,-76.23905251,https://air.norfolk.gov/#/property/37083600,POINT (-76.23905251 36.94459644)
,ZP24-00453,450 W OCEAN VIEW AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,05/14/2024,05/14/2026,Willoughby,1,6,36.96097087,-76.2620455,https://air.norfolk.gov/#/property/40474500,POINT (-76.2620455 36.96097087)
,ZP25-01194,864 LITTLE BAY AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,05/08/2025,05/08/2027,Willoughby,1,6,36.96529208,-76.27522275,https://air.norfolk.gov/#/property/42586654,POINT (-76.27522275 36.96529208)
,ZP25-01096,543 W OCEAN VIEW AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,04/29/2025,04/29/2027,Willoughby,1,6,36.96199146,-76.26499898,https://air.norfolk.gov/#/property/35749325,POINT (-76.26499898 36.96199146)
,ZP23-00994,9513 10TH BAY STREET,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,10/24/2023,10/23/2025,East Ocean View,5,6,36.92959218,-76.20707548,https://air.norfolk.gov/#/property/44740400,POINT (-76.20707548 36.92959218)
49920.0,ZP25-01219,1920 NORVIEW AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,CUP,4,8,04/08/2025,04/08/2030,Bromley,4,7,36.8973265,-76.21775704,https://air.norfolk.gov/#/property/22242350,POINT (-76.21775704 36.8973265)
,ZP25-01784,9518 13TH BAY STREET,Norfolk,Virginia,,duplex,Vacation Rental,administrative,2,4,07/16/2025,07/16/2027,East Ocean View,5,6,36.92865041,-76.2031863,https://air.norfolk.gov/#/property/46179000,POINT (-76.2031863 36.92865041)
,ZP24-00247,1976 KINGSTON AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,03/22/2024,03/22/2026,Bayview,5,6,36.93669712,-76.21990338,https://air.norfolk.gov/#/property/07316300,POINT (-76.21990338 36.93669712)
,ZP24-00276,163 A VIEW AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,04/02/2024,04/02/2026,Ocean View,5,6,36.95396196,-76.25404616,https://air.norfolk.gov/#/property/28100600,POINT (-76.25404616 36.95396196)
49616.0,ZP24-00621,2333 DOMINION AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,CUP,4,8,06/11/2024,06/11/2026,Roosevelt Area,5,6,36.9168344,-76.21693785,https://air.norfolk.gov/#/property/05590740,POINT (-76.21693785 36.9168344)
